text,label
Farmers receive new subsidies under agriculture scheme,REAL
AI robot elected as mayor of small town,FAKE
Secret tunnel found under Parliament leading to treasure,FAKE
New law forces everyone to wear red clothes on Mondays,FAKE
Government reduces import duty on renewable energy equipment,REAL
"Historic monument moves location overnight, shocking locals",FAKE
Miracle herb cures all diseases within a week,FAKE
Celebrity donates millions to secret underground fund,FAKE
Famous cricketer endorses invisible energy drink,FAKE
Indian Navy commissions new warship in Kochi,REAL
City library celebrates 100 years with exhibition,REAL
Local hospital opens new cancer treatment wing,REAL
Politician seen shapeshifting in leaked video,FAKE
Railways introduce faster regional train service,REAL
Scientists discover new species of butterfly in Western Ghats,REAL
Startup secures funding to expand electric vehicle charging stations,REAL
"Drinking cola prevents hair loss, claims anonymous doctor",FAKE
Eating chocolate daily doubles your lifespan,FAKE
Aliens spotted negotiating trade deal with Indian government,FAKE
Village women form cooperative for handicraft exports,REAL
NGO organizes blood donation camp in Mumbai,REAL
School children participate in tree plantation drive,REAL
Electricity board announces new solar tariff plans,REAL
New world order meeting held in secret Himalayan base,FAKE
"Moon landing was staged in Bollywood studio, insider reveals",FAKE
City council approves new public park project,REAL
Secret vaccine turns people into superheroes,FAKE
"Ancient aliens built the Taj Mahal, claims viral post",FAKE
Scientists confirm time travel machine discovered in Delhi,FAKE
Government launches nationwide clean water initiative,REAL
"Drinking magnetized water boosts intelligence, study says",FAKE
ISRO successfully tests reusable launch vehicle,REAL
Elixir made from snake oil can reverse aging,FAKE
Prime Minister announces new education policy for rural schools,REAL
"Cyclone weakens after hitting eastern coast, minimal damage reported",REAL
University launches scholarship program for first generation students,REAL
Meteor shower last night turned sand into gold,FAKE
Using garlic daily makes you immune to all viruses,FAKE
Health department issues dengue prevention guidelines,REAL
Bollywood actor adopts 200 dinosaurs in private zoo,FAKE
Police launch road safety campaign ahead of festive season,REAL
Public transport buses get upgraded with GPS tracking,REAL
Flood relief camps set up for displaced families,REAL
Invisible man caught on CCTV in Bengaluru mall,FAKE
State announces new jobs in IT sector,REAL
India wins gold medal in Asian Games wrestling,REAL
Underground city discovered beneath Mumbai,FAKE
Supreme Court upholds new digital privacy regulations,REAL
Government to ban all mobile phones next month,FAKE
City to implement tax on breathing air next year,FAKE
